STATION               STATION_NAME                         ELEVATI LATITU LONGIT DATE PRCP   TMAX   TMIN
-----------------     -------------------------------------------- ------ ------ ----------- ------ ----
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      2
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      3
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      8
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -14
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -14
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      4
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02-9999     -3
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02-9999      2
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.06-9999     25
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.25-9999     24
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     20
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.04-9999     -9
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      0
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -18
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -14
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -14
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      0
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     27
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     25
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     40
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   53     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   54     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   62     41
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   63     46
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.06   63     37
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###   0.1   60     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.15   44     34
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   40     32
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   38     29
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   52     28
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   57     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   55     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   65     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   70     45
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   67     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   48     30
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   43     30
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   38     27
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   40     20
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.09   33     28
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   39     25
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   40     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   45     28
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   45     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   44     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   48     34
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   44     29
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   39     31
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   51     30
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   51     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.09   57     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   47     40
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   51     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   60     34
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.06   70     47
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   66     51
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   64     50
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.22   72     47
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   74     53
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.04   72     51
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   69     53
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   65     47
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   64     41
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   65     46
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   54     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   54     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   58     44
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   61     48
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.05   65     39
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   62     48
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   62     37
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   55     37
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   56     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   69     33
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   74     51
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   71     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.05   60     38
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   50     37
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   48     32
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   52     33
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   63     32
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   66     39
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   67     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   65     46
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   54     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.05   68     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   75     52
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.17   77     60
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.52   67     51
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.61   67     44
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   55     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   54     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   66     31
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.11   71     50
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   70     56
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.14   59     41
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   61     33
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   71     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   77     45
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   76     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   79     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   73     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01-9999     47
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   69     54
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   74     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.09   77     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.08   66     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.17   58     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.41   58     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03   53     45
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   50     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   55     29
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   60     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   71     33
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.12   71     42
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.17   65     55
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###   0.1   68     56
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   66     53
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.21   63     44
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.06   59     37
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.16   56     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   57     29
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   64     39
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   73     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   73     53
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   74     47
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   76     46
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   77     49
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   76     39
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   74     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   68     50
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02   66     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   62     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.04   59     28
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0   66     40
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01   65     40
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###   0.4   59     35
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  1.04   50     43
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.46   46     42
